author_id,name,wikipedia_url,birth_year,death_year,created_at
1,"夏目漱石",,,,"2025-06-06 22:25:55"
2,"芥川龍之介",,,,"2025-06-06 22:26:17"
3,"太宰治",,,,"2025-06-06 22:26:21"
