work_id,author_id,title,wiki_url,aozora_url,content,created_at
1,1,"坊っちゃん",https://www.aozora.gr.jp/cards/000148/files/752_14964.html,,,"2025-06-06 22:25:55"
2,2,"羅生門",https://www.aozora.gr.jp/cards/000879/files/127_15260.html,,,"2025-06-06 22:26:17"
3,3,"走れメロス",https://www.aozora.gr.jp/cards/000035/files/1567_14913.html,,,"2025-06-06 22:26:21"
